Irradiance,Span,Wing Area,Battery Mass,Skin Mass,Spar Mass,Structural Mass,Total Weight,Velocity,Wing Loading
300.0,72.26726632279811,298.555650244952,303.8722181641865,149.277825122476,59.517720873043125,208.79554599551912,5609.270766406713,18.62788588223671,18.788024148277042
336.8421052631579,68.28418216676202,260.4879282838612,289.8685605791895,130.2439641419306,53.636152208466996,183.8801163503976,5227.4745206792495,19.14971001441951,20.068010656458213
410.5263157894737,62.85342593185485,208.22931585438909,272.51415457565867,104.11465792719454,47.45562611035885,151.5702840375534,4740.268342795611,20.143506281317578,22.76465407066118
631.578947368421,56.04546799581148,133.26187137830982,262.39021401095033,66.63093568915491,47.37694488603918,114.0078805751941,4272.465307890077,22.980957339297696,32.06067319707083
705.2631578947369,55.625043749902176,121.1220310082363,269.9386343476904,60.56101550411815,51.62209259680989,112.18310810092805,4328.614293420947,23.97893372154519,35.73762970608214
815.7894736842105,55.625043749945995,121.12203099110033,269.9386343673149,60.561015495550166,51.6220926066719,112.18310810222206,4328.614293626158,23.97893372334227,35.73762971283243
852.6315789473684,55.625043749238735,121.1220309919002,269.93863435323175,60.5610154959501,51.62209260207643,112.18310809802654,4328.614293446844,23.978933722785893,35.73762971111599
926.3157894736843,55.62504374992837,121.1220309909666,269.93863436721233,60.5610154954833,51.62209260665516,112.18310810213846,4328.614293624331,23.978933723349503,35.73762971285681
963.1578947368422,55.62504375007505,121.12203099173871,269.93863436837273,60.561015495869356,51.62209260697458,112.18310810284393,4328.614293642636,23.97893372332,35.73762971278012
1000.0,55.62504374995611,121.12203099111525,269.9386343674425,60.561015495557626,51.62209260671645,112.18310810227408,4328.614293627919,23.97893372334452,35.73762971284257
